Vocês você_PRON_Fem_Plur
repararam reparar_VERB_Fin_Plur
que que_SCONJ
só só_ADV
tem ter_VERB_Fin_Sing
30 30_NUM
dias dia_NOUN_Masc_Plur
de de_ADP
governo governo_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
e e_CCONJ
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
já já_ADV
está estar_AUX_Fin_Sing
de de_ADP
saco saco_NOUN_Masc_Sing
cheio cheio_ADJ_Masc_Sing
? ?
? ?
É ser_AUX_Fin_Sing
só só_ADV
ver ver_VERB_Inf
o o_DET_Masc_Sing
número número_NOUN_Masc_Sing
de de_ADP
likes likes_NOUN_Masc_Plur
nesse em_esse_ADP_DET_Masc_Sing
post post_NOUN_Masc_Sing
! !
! !
Bolsonaro bolsonaro_PROPN_Masc_Sing
vai ir_AUX_Fin_Sing
cair cair_VERB_Inf
antes antes_ADV
do de_o_ADP_DET_Masc_Sing
tempo tempo_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
esperamos esperar_VERB_Fin_Plur
! !
! !
Glória glória_PROPN_Fem_Sing
a a_ADP
Deus deus_PROPN_Sing
! !
! !
