@jairbolsonaro twitterhandle_VERB_Fin_Sing
Muda muda_PROPN_Fem_Sing
Brasil brasil_PROPN_Sing
Muda muda_PROPN_Sing
Brasil brasil_PROPN_Sing
Muda muda_PROPN_Sing
de de_ADP
verdade verdade_NOUN_Fem_Sing
Bolsonaro bolsonaro_ADJ_Masc_Sing
presidente presidente_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
musical_notes_e musical_notes_e
musical_note_e musical_note_e
trumpet_e trumpet_e
guitar_e guitar_e
Deus deus_PROPN_Sing
abençoe abençoar_VERB_Fin_Sing
, ,
fortaleça fortalecer_VERB_Fin_Sing
, ,
frutifique frutifique_VERB_Fin_Sing
e e_CCONJ
multiplique multiplicar_VERB_Fin_Sing
sua seu_DET_Fem_Sing
coragem coragem_NOUN_Fem_Sing
e e_CCONJ
vigor vigor_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
condução condução_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
País país_NOUN_Masc_Sing
. .
Boa bom_ADJ_Fem_Sing
noite noite_NOUN_Fem_Sing
meu meu_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
JB17 jb17_PROPN_Masc_Sing
HASHTAG hashtag_PROPN_Sing
#bolsonaronog20_h #bolsonaronog20_h
HASHTAG hashtag_PROPN_Sing
#bolsonaroorgulhodobrasil_h #bolsonaroorgulhodobrasil_h
HASHTAG hashtag_PROPN_Sing
#bolsonaroate2026_h #bolsonaroate2026_h
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
flag_brazil_e flag_brazil_e
flag_united_states_e flag_united_states_e
