@Solange05704430 twitterhandle_NUM
@profcabarros twitterhandle_NOUN_Masc_Plur
@Facebook twitterhandle_ADJ_Masc_Plur
Não não_ADV
encaro encarar_VERB_Fin_Sing
ladrão ladrão_NOUN_Masc_Sing
numa em_um_ADP_DET_Fem_Sing
boa bom_ADJ_Fem_Sing
, ,
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
mais mais_ADV
um um_DET_Masc_Sing
motivo motivo_NOUN_Masc_Sing
para para_ADP
não não_ADV
querer querer_VERB_Inf
encarar encarar_VERB_Inf
o o_DET_Masc_Sing
bandido bandido_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
