Parem parar
de de
deixar deixar
Bolsonaro bolsonaro
pautar pautar
o o
debate debate
. .
Ignorem ignorar
esse esse
homem homem
pelo por_o
amor amor
de de
Deus deus
. .
A o
pauta pauta
é ser
outra outro
: :
escândalos escândalo
envolvendo envolver
compra compra
de de
vacina vacina
, ,
população população
empobrecida empobrecer
passando passar
fome fome
, ,
nosso nosso
patrimônio patrimônio
queimando queimar
pela por_o
omissão omissão
de de
quem quem
não não
deveria dever
estar estar
na em_o
presidência presidência
do de_o
país país
