@jairbolsonaro twitterhandle
Jair jair
Messias messias
Bolsonaro bolsonaro
melhor bom
presidente presidente
que que
o o
Brasil brasil
já já
teve ter
! !
! !
! !
flag_brazil_e flag_brazil_e
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
red_heart_e red_heart_e
Brasil brasil
celeiro celeiro
do de_o
mundo mundo
! !
! !
! !
Deus deus
no em_o
comando comando
! !
! !
! !
folded_hands_e folded_hands_e
