@MaryCas91579884 twitterhandle
Paulo paulo
sentou sentar
o o
pau pau
no em_o
Eduardo eduardo
Bolsonaro bolsonaro
por por
estar estar
na em_o
copa copa
. .
Paulo paulo
também também
fala falar
merda merda
. .
Essa esse
viagem viagem
estava estar
agendada agendar
antes antes
da de_o
eleição eleição
? ?
Foi ser
com com
dinheiro dinheiro
público público
? ?
A o
família família
Bolsonaro bolsonaro
teve ter
até até
a o
Caçulinha caçula
de de
12 12
anos ano
chamada chamar
de de
puta puto
por por
uma um
jornalista jornalista
esquerdista esquerdista
. .
Deixa deixar
o o
povo povo
se se
foder foder
. .
