@LuizCamargoVlog twitterhandle
A o
" "
democracia democracia
" "
q q
os o
POLÍTICOS político
da de_o
" "
direita direita
" "
defenderam defender
! !
As o
Forças forças
Armadas armadas
só só
agirão agir
qdo qdo
a o
maioria maioria
esquecer esquecer
de de
político político
e e
pedir pedir
apenas apenas
Intervenção intervenção
militar militar
! !
O o
que que
eu eu
vi ver
muitos muito
carros carro
de de
sons som
gritando gritar
" "
Intervenção intervenção
federal federal
" "
, ,
Intervenção intervenção
com com
Bolsonaro bolsonaro
" "
