@_Dan_Almeida_ twitterhandle
No em_o
entanto entanto
me eu
indentifico indentifico
mais mais
com com
a o
direita direita
pelas por_o
pautas pauta
conservadoras conservador
. .
. .
. .
de de
Sarney sarney
pra pra
cá cá
, ,
Bolsonaro bolsonaro
foi ser
o o
melhor bom
presidente presidente
, ,
não não
pq pq
é ser
esplêndido esplêndido
, ,
mas mas
pq pq
os o
anteriores anterior
foram ser
piores mau
. .
. .
. .
do de_o
período período
militar militar
para para
trás trás
não não
posso poder
opinar opinar
, ,
pois pois
não não
vivi viver
esse esse
período período
