Por por_ADP
falta falta_NOUN_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
de de_ADP
fogo fogo_NOUN_Masc_Sing
, ,
os o_DET_Masc_Plur
ex ex_PART
maridos marido_NOUN_Masc_Plur
, ,
namorados namorar_VERB_Part_Masc_Plur
estão estar_AUX_Fin_Plur
matando matar_VERB_Part
as o_DET_Fem_Plur
mulheres mulher_NOUN_Fem_Plur
a a_ADP
facada facada_NOUN_Fem_Sing
, ,
ateando atear_VERB_Part
fogo fogo_NOUN_Masc_Sing
, ,
jogando jogar_VERB_Ger
de de_ADP
janelas janela_NOUN_Fem_Plur
, ,
estrangulando estrangular_VERB_Part
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
Moro moro_PROPN_Sing
vão ir_AUX_Fin_Plur
facilitar facilitar_VERB_Inf
, ,
as o_DET_Fem_Plur
mulheres mulher_NOUN_Fem_Plur
vão ir_AUX_Fin_Plur
morrer morrer_VERB_Inf
com com_ADP
tiro tiro_NOUN_Masc_Sing
! !
! !
O o_DET_Masc_Sing
BRASIL brasil_PROPN_Masc_Sing
É ser_AUX_Fin_Sing
UM um_DET_Masc_Sing
PAÍS país_PROPN_Masc_Sing
MACHISTA machista_PROPN_Sing
E e_CCONJ
IGNORANTE ignorante_PROPN_Masc_Sing
! !
NÃO não_ADV
AO a_o_ADP_DET_Masc_Sing
ARMAMENTO armamento_NOUN_Masc_Sing
! !
! !
