Você você_PRON_Sing
é ser_AUX_Fin_Sing
católico católico_ADJ_Masc_Sing
, ,
votou votar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
ainda ainda_ADV
o o_PRON_Masc_Sing
apoia apoiar_VERB_Fin_Sing
? ?
Saiba saber_VERB_Fin
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
Papa papa_NOUN_Masc_Sing
Francisco francisco_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
contra contra_ADP
o o_DET_Masc_Sing
armamento armamento_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
, ,
é ser_AUX_Fin_Sing
a a_ADP
favor favor_NOUN
da de_o_ADP_DET_Fem_Sing
educação educação_NOUN_Fem_Sing
sexual sexual_ADJ_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
escolas escola_NOUN_Fem_Plur
, ,
defende defender_VERB_Fin_Sing
o o_DET_Masc_Sing
Pacto pacto_PROPN_Masc_Sing
de de_ADP
Migração migração_PROPN_Sing
da de_o_ADP_DET_Fem_Sing
ONU onu_PROPN_Fem_Sing
e e_CCONJ
condena condenar_VERB_Fin_Sing
a o_DET_Fem_Sing
intolerância intolerância_NOUN_Fem_Sing
e e_CCONJ
o o_DET_Masc_Sing
populismo populismo_NOUN_Masc_Sing
praticados praticar_VERB_Part_Masc_Plur
por por_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
