@VaGrangeiro twitterhandle_VERB_Fin_Sing
@MarceloCRedeTV twitterhandle_NOUN_Masc_Sing
@Vlogdolisboa2 twitterhandle_NUM
@sikerajr twitterhandle_NOUN_Masc_Sing
@jairbolsonaro twitterhandle_ADJ_Masc_Sing
Val val_ADJ_Masc_Sing
. .
. .
imagina imaginar_VERB_Fin_Sing
, ,
ficar ficar_VERB_Inf
na em_o_ADP_DET_Fem_Sing
fila fila_NOUN_Fem_Sing
, ,
o o_DET_Masc_Sing
dia dia_NOUN_Masc_Sing
todo todo_ADV
pra pra_ADP
receber receber_VERB_Inf
isso isso_PRON_Masc_Sing
. .
. .
meu meu_DET_Masc_Sing
Deus deus_PROPN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
céu céu_NOUN_Masc_Sing
. .
Olha olhar_VERB_Fin_Sing
. .
. .
. .
não não_ADV
tenho ter_VERB_Fin_Sing
nem nem_ADV
palavras palavra_NOUN_Fem_Plur
. .
. .
@exercitooficial twitterhandle_NOUN_Masc_Sing
por por_ADP
favor favor_NOUN
, ,
esteja estar_VERB_Fin_Sing
ao a_o_ADP_DET_Masc_Sing
lado lado_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
seu seu_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
! !
Pelo por_o_ADP_DET_Masc_Sing
amor amor_NOUN_Masc_Sing
de de_ADP
Deus deus_NOUN
